name,orbits_star_likelihood,round_shape_likelihood,cleared_orbit_likelihood
K00752.01,1.0,0.95,0.95
K00752.02,1.0,1.0,0.95
K00753.01,1.0,1.0,0.0
K00754.01,1.0,1.0,0.1
K00755.01,1.0,1.0,0.95
K00756.01,1.0,1.0,0.95
K00756.02,1.0,1.0,0.95
K00756.03,1.0,0.8,0.95
K00114.01,1.0,1.0,0.1
K00757.01,1.0,1.0,0.95
K00001.01,1.0,1.0,0.95
K00002.01,1.0,1.0,0.95
K00010.01,1.0,1.0,0.95
K00112.02,1.0,0.68,0.95
K00742.01,1.0,1.0,0.1
K00743.01,1.0,1.0,0.1
K00744.01,1.0,1.0,0.1
K00745.01,1.0,1.0,0.1
K00746.01,1.0,0.99,0.95
K00747.01,1.0,1.0,0.95
K00748.01,1.0,0.8,0.1
K00749.01,1.0,1.0,0.95
K00749.02,1.0,0.82,0.95
K00749.03,1.0,0.72,0.95
K00113.01,1.0,1.0,0.1
K00750.01,1.0,1.0,0.95
K00751.01,1.0,1.0,0.95
K00769.01,1.0,0.96,0.95
K00770.01,1.0,1.0,0.1
K00771.01,1.0,1.0,0.1
K00772.01,1.0,1.0,0.1
K00773.01,1.0,1.0,0.95
K00757.02,1.0,1.0,0.95
K00757.03,1.0,1.0,0.95
K00758.01,1.0,1.0,0.95
K00759.01,1.0,1.0,0.95
K00759.02,1.0,0.92,0.95
K00760.01,1.0,1.0,0.95
K00761.01,1.0,1.0,0.1
K00762.01,1.0,0.92,0.95
K00763.01,1.0,1.0,0.1
K00115.01,1.0,1.0,0.95
K00764.01,1.0,1.0,0.95
K00765.01,1.0,1.0,0.95
K00766.01,1.0,1.0,0.95
K00767.01,1.0,1.0,0.95
K00768.01,1.0,1.0,0.1
K00786.01,1.0,0.87,0.95
K00787.01,1.0,1.0,0.95
K00787.02,1.0,1.0,0.95
K00788.01,1.0,1.0,0.95
K00116.01,1.0,1.0,0.95
K00115.02,1.0,0.85,0.95
K00774.01,1.0,1.0,0.1
K00775.01,1.0,0.89,0.95
K00775.02,1.0,0.93,0.95
K00775.03,1.0,0.89,0.95
K00776.01,1.0,1.0,0.95
K00777.01,1.0,1.0,0.999
K00778.01,1.0,0.89,0.95
K00779.01,1.0,1.0,0.1
K00780.01,1.0,0.97,0.95
K00780.02,1.0,1.0,0.993
K00115.03,1.0,0.47,0.871
K00781.01,1.0,1.0,0.95
K00782.01,1.0,1.0,0.95
K00783.01,1.0,1.0,0.95
K00784.01,1.0,0.88,0.95
K00784.02,1.0,0.87,0.95
K00785.01,1.0,1.0,0.95
K00116.02,1.0,1.0,0.95
K00798.01,1.0,1.0,0.1
K00799.01,1.0,1.0,0.1
K00800.01,1.0,1.0,0.95
K00800.02,1.0,1.0,0.95
K00789.01,1.0,0.87,0.0
K00790.01,1.0,1.0,0.95
K00790.02,1.0,0.97,0.95
K00791.01,1.0,1.0,0.95
K00792.01,1.0,1.0,0.1
K00793.01,1.0,1.0,0.1
K00794.01,1.0,0.91,0.95
K00795.01,1.0,1.0,0.95
K00796.01,1.0,1.0,0.1
K00797.01,1.0,1.0,1.0
K00812.02,1.0,0.89,0.95
K00812.03,1.0,0.86,0.95
K00116.04,1.0,0.72,0.95
K00812.04,1.0,0.69,0.95
K00813.01,1.0,1.0,0.95
K00814.01,1.0,0.96,0.95
K00801.01,1.0,1.0,0.95
K00802.01,1.0,1.0,1.0
K00803.01,1.0,1.0,0.1
K00804.01,1.0,1.0,0.95
K00805.01,1.0,1.0,0.1
K00806.01,1.0,1.0,0.95
K00116.03,1.0,0.56,0.95
K00806.02,1.0,1.0,0.95
K00806.03,1.0,0.87,0.95
K00807.01,1.0,1.0,0.1
K00808.01,1.0,0.82,0.1
K00809.01,1.0,1.0,0.95
K00810.01,1.0,1.0,0.95
K00811.01,1.0,1.0,0.95
K00812.01,1.0,0.9,0.95
K00828.01,1.0,1.0,0.1
K00829.01,1.0,1.0,0.95
K00117.02,1.0,0.82,0.95
K00829.02,1.0,1.0,0.95
K00829.03,1.0,1.0,0.95
K00830.01,1.0,1.0,0.95
K00815.01,1.0,1.0,1.0
K00816.01,1.0,1.0,0.95
K00817.01,1.0,0.85,0.95
K00817.02,1.0,0.85,0.95
K00818.01,1.0,0.92,0.95
K00819.01,1.0,1.0,0.1
K00820.01,1.0,1.0,0.0
K00011.01,1.0,1.0,0.1
K00117.01,1.0,1.0,0.95
K00821.01,1.0,1.0,0.95
K00822.01,1.0,1.0,0.1
K00823.01,1.0,1.0,0.0
K00824.01,1.0,1.0,0.95
K00825.01,1.0,0.92,0.95
K00825.02,1.0,0.76,0.95
K00826.01,1.0,0.99,0.95
K00827.01,1.0,1.0,0.1
K00839.01,1.0,1.0,0.1
K00840.01,1.0,1.0,0.95
K00841.01,1.0,1.0,0.95
K00117.04,1.0,0.65,0.95
K00841.02,1.0,1.0,0.95
K00831.01,1.0,1.0,0.1
K00832.01,1.0,1.0,0.1
K00833.01,1.0,1.0,0.1
K00834.01,1.0,1.0,0.95
K00834.02,1.0,1.0,0.95
K00834.03,1.0,0.96,0.95
K00834.04,1.0,0.8,0.95
K00117.03,1.0,0.78,0.95
K00834.05,1.0,1.0,0.95
K00835.01,1.0,0.97,0.95
K00835.02,1.0,0.97,0.95
K00836.01,1.0,1.0,0.1
K00837.01,1.0,0.85,0.95
K00837.02,1.0,0.77,0.95
K00838.01,1.0,1.0,0.1
K00850.01,1.0,1.0,0.95
K00851.01,1.0,1.0,0.95
